1,3,2019/6/18,314,772,25953
2,1,2017/4/18,886,264,175717
3,3,2018/8/20,634,732,447284
4,1,2019/9/21,471,938,134190
5,1,2019/11/15,330,529,140504
6,1,2020/11/24,989,331,828601
7,2,2019/7/14,488,9,716139
8,1,2017/8/9,672,678,688832
9,3,2020/6/5,462,987,867885
10,1,2020/1/25,11,277,773582
11,1,2019/9/19,47,478,62344
12,3,2020/3/8,398,425,674476
13,3,2017/5/3,764,607,218687
14,3,2018/6/19,169,111,745920
15,1,2018/9/24,582,109,688069
16,1,2019/7/4,798,661,254786
17,2,2020/2/23,398,399,702312
18,1,2018/3/3,333,332,499182
19,3,2020/4/14,421,730,955296
20,2,2017/5/14,40,648,17123
21,1,2018/6/16,862,788,982219
22,2,2019/4/24,566,118,42611
23,3,2018/11/23,807,580,38861
24,2,2020/4/22,616,34,556832
25,2,2018/8/1,305,157,534282
26,1,2019/10/10,379,593,492679
27,1,2020/10/3,798,427,324430
28,2,2020/4/3,296,871,358343
29,2,2020/3/2,873,73,957184
30,3,2020/7/20,513,133,260399
31,2,2020/10/23,857,291,890859
32,3,2019/11/8,45,248,397010
33,1,2017/4/11,948,720,631089
34,1,2020/10/12,140,319,96379
35,1,2019/2/18,869,25,64860
36,3,2017/9/15,647,609,86343
37,2,2017/1/22,303,261,785930
38,3,2018/3/6,737,814,958998
39,1,2018/3/5,455,161,713170
40,2,2020/1/13,996,469,206792
41,1,2017/12/5,124,543,551109
42,2,2020/7/12,239,952,507687
43,3,2017/6/5,427,470,585225
44,1,2017/5/6,767,650,425690
45,3,2018/1/18,380,91,487377
46,2,2019/3/8,266,256,651696
47,2,2019/3/17,75,629,740237
48,3,2019/2/1,899,900,183300
49,2,2017/8/12,353,133,624991
50,2,2017/6/5,881,919,859496
51,1,2020/3/6,465,136,345776
52,3,2018/4/27,969,813,456779
53,3,2020/5/7,722,534,89344
54,1,2019/11/2,288,162,352355
55,2,2018/2/14,658,715,903666
56,1,2018/5/9,860,129,374703
57,3,2018/8/17,740,70,934041
58,2,2019/2/6,56,698,224528
59,3,2019/2/23,796,463,397001
60,2,2020/8/17,205,505,417783
61,1,2019/2/23,425,98,294456
62,3,2019/9/13,923,483,468721
63,2,2019/5/10,588,21,331338
64,1,2018/3/13,301,666,648806
65,1,2019/5/25,505,427,599522
66,1,2018/5/4,730,476,74136
67,1,2019/4/27,577,748,957635
68,3,2019/7/1,231,237,400715
69,3,2018/5/11,149,282,886995
70,1,2020/7/7,585,927,843708
71,2,2019/10/7,667,11,208230
72,1,2017/7/21,533,977,527590
73,3,2019/5/3,33,762,784663
74,2,2019/2/19,416,350,487245
75,1,2018/8/13,666,976,616135
76,1,2018/8/19,467,736,749134
77,3,2018/7/21,638,699,797974
78,1,2017/3/12,138,909,474598
79,1,2020/8/6,91,962,831117
80,1,2018/5/20,339,350,366779
81,3,2017/3/21,682,484,956040
82,3,2017/10/26,201,910,573163
83,3,2017/9/23,920,151,225580
84,1,2018/3/15,122,127,574002
85,1,2017/7/19,700,76,329046
86,2,2017/4/5,88,924,250851
87,1,2017/10/8,562,315,203561
88,2,2020/12/3,484,441,869941
89,2,2019/10/27,24,978,782129
90,1,2018/7/9,77,950,930445
91,3,2020/6/13,821,207,589061
92,3,2019/12/19,544,95,219081
93,1,2017/6/25,244,687,812226
94,3,2017/8/13,80,407,125242
95,2,2019/2/1,911,842,906470
96,1,2020/11/13,581,162,235256
97,1,2017/1/11,726,182,24504
98,3,2017/7/6,135,733,485249
99,1,2017/5/12,83,689,577326
100,1,2017/7/18,975,312,193259
101,1,2018/11/22,864,449,59682
102,2,2019/5/16,24,785,334609
103,3,2019/6/25,502,820,549546
104,2,2020/7/14,288,966,440652
105,1,2018/3/19,167,980,281104
106,3,2020/6/7,350,197,18190
107,3,2019/5/25,752,435,423573
108,1,2018/11/5,142,736,31577
109,3,2019/12/1,996,629,692653
110,1,2017/10/10,540,338,447248
111,1,2018/9/12,367,430,729637
112,2,2017/3/11,169,27,440942
113,1,2019/3/5,118,416,391090
114,2,2017/7/19,89,604,569265
115,3,2017/6/17,369,23,685273
116,1,2017/1/8,745,319,289236
117,1,2018/5/3,506,260,479547
118,2,2020/12/17,628,802,645372
119,1,2017/10/25,910,628,51295
120,1,2020/9/15,327,539,902772
121,1,2018/10/15,596,989,567872
122,3,2017/8/19,836,162,124948
123,1,2018/4/12,82,140,721013
124,3,2020/4/9,303,516,959425
125,3,2020/9/26,98,982,59020
126,1,2017/3/27,938,958,838575
127,2,2018/2/9,941,48,904293
128,1,2019/12/1,598,493,33828
129,2,2019/10/25,306,446,737175
130,2,2017/10/7,187,113,655954
131,3,2018/3/7,433,764,865507
132,1,2020/9/21,983,198,462673
133,1,2017/4/8,40,597,344286
134,2,2019/8/10,390,122,21962
135,1,2020/8/1,639,167,286535
136,1,2017/3/7,170,479,213558
137,3,2018/2/25,595,424,965711
138,3,2020/4/7,270,115,871697
139,1,2018/10/24,420,529,85622
140,2,2017/10/24,598,711,564023
141,3,2018/11/7,860,884,592220
142,1,2017/9/2,607,227,507454
143,1,2019/5/5,84,528,651931
144,2,2017/2/24,94,241,70046
145,1,2018/2/2,3,548,611196
146,2,2020/8/16,812,962,37301
147,3,2020/9/13,165,554,277183
148,3,2019/10/26,444,479,337319
149,3,2019/1/20,531,99,969063
150,1,2017/7/11,601,783,494615
151,1,2018/11/22,86,956,757610
152,3,2019/10/7,59,379,514423
153,1,2017/7/20,943,854,935733
154,1,2020/12/6,67,42,476616
155,1,2020/12/16,627,363,855367
156,2,2017/11/5,538,499,717474
157,1,2018/3/26,222,801,344413
158,3,2017/8/13,276,766,683134
159,2,2019/6/3,467,918,651577
160,1,2019/12/4,66,709,564419
161,1,2019/6/17,300,1,803801
162,1,2020/1/26,938,623,843197
163,1,2019/5/15,396,66,961476
164,1,2020/6/1,492,859,918123
165,3,2020/8/22,413,213,974019
166,1,2017/6/9,505,93,638287
167,2,2017/10/3,108,496,545066
168,1,2018/6/5,489,723,754391
169,3,2017/10/10,77,993,27981
170,3,2018/10/19,621,168,142980
171,1,2019/12/17,863,637,358843
172,3,2017/8/22,141,588,877934
173,2,2017/11/23,97,171,933534
174,1,2017/3/25,155,702,469042
175,1,2020/6/13,29,222,337728
176,2,2017/9/15,59,871,672080
177,2,2018/9/10,591,156,710248
178,1,2018/6/12,794,275,756639
179,3,2018/12/10,802,387,77816
180,2,2019/3/13,663,78,798233
181,1,2019/9/12,614,384,551079
182,1,2020/6/26,506,245,864797
183,2,2018/10/4,254,879,140748
184,2,2019/12/25,948,949,246735
185,1,2018/10/6,597,540,948629
186,2,2019/6/18,165,768,804007
187,3,2020/10/3,983,385,379719
188,3,2020/3/12,42,278,805377
189,2,2019/9/14,859,552,433055
190,2,2018/7/11,922,912,972773
191,2,2019/2/1,246,232,634113
192,3,2020/11/21,700,952,855954
193,1,2018/9/6,660,918,178011
194,1,2017/8/8,777,896,743346
195,3,2017/1/14,725,438,711030
196,2,2018/3/12,842,213,361040
197,3,2017/11/16,134,613,160253
198,3,2018/2/16,256,863,123531
199,1,2017/7/25,41,847,121160
200,2,2019/3/2,228,97,362490
201,3,2018/5/1,289,732,585123
202,1,2020/1/13,28,418,636767
203,3,2020/7/7,901,716,231516
204,1,2017/12/24,495,986,501788
205,1,2019/7/9,611,261,589506
206,2,2020/6/25,816,378,242920
207,3,2019/5/13,964,734,125443
208,1,2018/11/5,501,434,595456
209,3,2019/6/22,786,926,311138
