1,1019
2,1021
3,2935
4,1557
5,4818
6,5296
7,3767
8,9361
9,2082
10,9731
11,791
12,6048
13,9427
14,9225
15,3188
16,6427
17,5116
18,8671
19,4219
20,36
21,6501
22,4863
23,7700
24,7583
25,5024
26,5611
27,1515
28,9447
29,9443
30,2550
31,2376
32,592
33,8482
34,8180
35,1432
36,82
37,8196
38,6928
39,8343
40,2325
41,167
42,579
43,6077
44,4378
45,2336
46,9415
47,5563
48,6485
49,4684
50,3786
51,9376
52,845
53,9176
54,4308
55,2642
56,7569
57,1663
58,439
59,9591
60,6952
61,4567
62,2695
63,9308
64,8986
65,1861
66,3939
67,1787
68,2502
69,4156
70,8804
71,6966
72,6919
73,262
74,2963
75,6161
76,5918
77,5940
78,3832
79,1106
80,7632
81,869
82,997
83,2134
84,1161
85,903
86,109
87,9115
88,6100
89,6038
90,1938
91,14
92,8596
93,3968
94,3815
95,7487
96,2896
97,6971
98,9695
99,7054
100,7873
