1,93,22,1285,1551,1,3007
2,49,5,1456,1551,1,973
3,26,5,41,1551,1,3931
4,16,24,4551,1551,1,912
5,28,5,1459,1551,1,1326
6,41,5,3026,1551,1,3253
7,62,30,1693,1551,1,826
8,93,43,588,1551,1,317
9,43,8,1180,1551,1,1412
10,22,35,1669,1551,1,3547
11,24,7,1187,8370,2,1297
12,87,23,3565,8370,2,326
13,80,40,3817,8370,2,448
14,19,2,4734,8370,2,2422
15,61,43,4361,8370,2,2820
16,78,39,2028,8370,2,2627
17,34,42,2803,8370,2,210
18,50,40,1014,8370,2,611
19,40,1,1992,8370,2,1075
20,91,8,32,8370,2,1121
21,66,40,3628,10067,8,2593
22,96,28,2291,10067,8,17
23,91,3,920,10067,8,2977
24,5,9,696,10067,8,3698
25,77,46,1197,10067,8,2789
26,3,14,1124,10067,8,963
27,17,2,114,10067,8,680
28,71,44,1511,10067,8,2530
29,36,41,3697,10067,8,95
30,71,49,444,10067,8,2668
31,4,6,128,12700,7,3200
32,50,46,600,12700,7,806
33,42,9,4576,12700,7,1715
34,53,34,4060,12700,7,1662
35,84,30,4812,12700,7,3367
36,97,37,3472,12700,7,3448
37,36,40,4425,12700,7,1173
38,2,26,4044,12700,7,3689
39,28,26,3458,12700,7,3817
40,23,39,1554,12700,7,3549
41,87,43,43,16007,11,2081
42,27,2,2335,16007,11,3736
43,1,3,2268,16007,11,3788
44,29,16,4313,16007,11,3839
45,43,3,2699,16007,11,359
46,6,34,1483,16007,11,2301
47,40,35,570,16007,11,1925
48,85,32,1344,16007,11,982
49,40,42,14,16007,11,463
50,67,8,2784,16007,11,2098
51,44,46,1980,2949,8,1652
52,90,1,4360,2949,8,2086
53,62,38,2857,2949,8,745
54,65,4,4532,2949,8,2336
55,72,35,593,2949,8,1312
56,86,42,4865,2949,8,679
57,70,29,1037,2949,8,1537
58,26,12,1775,2949,8,3849
59,69,30,4550,2949,8,3952
60,5,35,2808,2949,8,3214
61,65,37,2669,19891,7,2592
62,24,40,3842,19891,7,3701
63,99,44,2430,19891,7,3069
64,22,30,2383,19891,7,3994
65,3,29,2189,19891,7,655
66,10,38,3214,19891,7,615
67,59,19,619,19891,7,2318
68,63,29,176,19891,7,3847
69,63,31,2616,19891,7,2700
70,23,4,4319,19891,7,810
71,36,36,2674,15119,1,462
72,83,32,2808,15119,1,3257
73,77,29,3300,15119,1,1018
74,49,30,3,15119,1,2386
75,96,16,1377,15119,1,949
76,32,3,3659,15119,1,3267
77,73,3,2770,15119,1,850
78,18,11,3108,15119,1,3912
79,89,10,2762,15119,1,1195
80,96,32,4793,15119,1,2707
81,28,50,1069,12084,10,1578
82,47,45,3247,12084,10,475
83,29,37,1625,12084,10,1361
84,24,49,3541,12084,10,921
85,53,3,380,12084,10,2459
86,83,11,1090,12084,10,3154
87,83,36,1667,12084,10,3365
88,95,3,2397,12084,10,3927
89,90,20,1197,12084,10,1073
90,77,16,1386,12084,10,675
91,43,17,2813,15718,16,1339
92,36,12,1258,15718,16,3040
93,87,10,3283,15718,16,1428
94,45,3,4437,15718,16,2150
95,40,44,689,15718,16,3045
96,99,24,1330,15718,16,2528
97,83,12,821,15718,16,953
98,68,24,3373,15718,16,2605
99,70,46,1518,15718,16,914
100,39,11,1440,15718,16,3418
101,60,13,2071,10702,6,3715
102,32,48,3728,10702,6,3079
103,79,31,2574,10702,6,162
104,19,1,3893,10702,6,3599
105,20,18,2972,10702,6,2305
106,44,34,2339,10702,6,1379
107,3,35,1710,10702,6,53
108,16,27,671,10702,6,2309
109,76,12,122,10702,6,1639
110,95,28,4254,10702,6,2518
111,47,8,3985,16486,16,3667
112,24,12,3267,16486,16,2391
113,69,23,367,16486,16,1384
114,24,47,488,16486,16,527
115,51,20,2594,16486,16,980
116,80,46,1720,16486,16,3217
117,80,34,1212,16486,16,3951
118,6,17,2267,16486,16,2480
119,64,8,2938,16486,16,2741
120,35,26,2526,16486,16,2950
121,66,32,4966,19894,13,3366
122,14,8,4356,19894,13,1375
123,87,6,2103,19894,13,1841
124,16,40,4287,19894,13,3854
125,72,39,2725,19894,13,1445
126,24,2,212,19894,13,2203
127,7,37,4507,19894,13,1956
128,47,45,2245,19894,13,2163
129,42,48,1334,19894,13,2777
130,41,19,2967,19894,13,1502
131,90,36,1093,10931,8,1209
