1,534,3,10,260,53,10,314
2,343,1,2,1758,17,7,886
3,567,3,7,4473,84,8,634
4,380,1,11,1342,90,14,471
5,54,1,12,1406,4,9,330
6,396,1,16,8287,1,2,989
7,416,2,11,7162,39,6,488
8,377,1,3,6889,32,12,672
9,807,3,14,8679,85,15,462
10,313,1,13,7736,82,1,11
11,19,1,11,624,44,5,47
12,771,3,13,6745,76,9,398
13,1059,3,2,2187,87,10,764
14,345,3,6,7460,20,7,169
15,262,1,7,6881,69,8,582
16,161,1,11,2548,86,6,798
17,590,2,13,7024,12,16,398
18,362,1,5,4992,82,1,333
19,1164,3,14,9553,96,15,421
20,472,2,2,172,23,4,40
21,308,1,6,9823,19,12,862
22,80,2,10,427,11,3,566
23,435,3,8,389,61,13,807
24,108,2,14,5569,32,12,616
25,102,2,7,5343,82,1,305
26,273,1,12,4927,79,13,379
27,318,1,16,3245,30,11,798
28,564,2,14,3584,43,5,296
29,232,2,13,9572,84,8,873
30,894,3,15,2604,99,1,513
31,704,2,16,8909,59,6,857
32,1053,3,12,3971,10,10,45
33,294,1,2,6311,89,1,948
34,32,1,16,964,79,13,140
35,277,1,9,649,60,5,869
36,375,3,3,864,43,5,647
37,196,2,1,7860,30,11,303
38,615,3,5,9590,98,16,737
39,318,1,5,7132,70,16,455
40,160,2,13,2068,92,5,996
41,374,1,4,5512,9,2,124
42,266,2,15,5077,87,10,239
43,825,3,2,5853,25,2,427
44,297,1,2,4257,90,14,767
45,570,3,5,4874,77,6,380
46,642,2,9,6517,96,15,266
47,42,2,9,7403,37,15,75
48,1044,3,9,1833,100,8,899
49,338,2,3,6250,91,2,353
50,604,2,2,8595,96,15,881
51,353,1,13,3458,76,9,465
52,357,3,6,4568,79,13,969
53,1044,3,14,894,44,5,722
54,105,1,12,3524,55,2,288
55,580,2,5,9037,66,11,658
56,354,1,6,3748,3,14,860
57,1104,3,7,9341,41,8,740
58,84,2,9,2246,28,3,56
59,1053,3,9,3971,1,2,796
60,262,2,15,4178,83,8,205
61,342,1,9,2945,56,7,425
62,783,3,11,4688,21,10,923
63,288,2,10,3314,38,2,588
64,318,1,5,6489,6,5,301
65,14,1,10,5996,22,7,505
66,344,1,6,742,36,10,730
67,45,1,10,9577,35,1,577
68,480,3,11,4008,15,4,231
69,588,3,6,8870,95,10,149
70,376,1,15,8438,8,13,585
71,762,2,12,2083,30,11,667
72,392,1,3,5276,90,14,533
73,951,3,10,7847,63,11,33
74,498,2,9,4873,45,10,416
75,211,1,7,6162,35,1,666
76,110,1,7,7492,34,15,467
77,444,3,7,7980,74,10,638
78,336,1,1,4746,98,16,138
79,183,1,15,8312,17,7,91
80,45,1,6,3668,79,13,339
81,576,3,1,9561,40,3,682
82,291,3,4,5732,63,11,201
83,960,3,3,2256,80,13,920
84,98,1,5,5741,2,7,122
85,132,1,3,3291,46,7,700
86,152,2,2,2509,51,7,88
87,284,1,4,2036,61,13,562
88,152,2,16,8700,41,8,484
89,664,2,12,7822,29,3,24
90,310,1,7,9305,45,10,77
91,498,3,14,5891,61,13,821
92,1140,3,12,2191,81,7,544
93,270,1,2,8123,26,6,244
94,945,3,3,1253,42,15,80
95,396,2,9,9065,70,16,911
96,29,1,16,2353,56,7,581
97,279,1,1,246,4,9,726
98,1005,3,3,4853,49,2,135
99,62,1,2,5774,26,6,83
100,73,1,3,1933,59,6,975
101,232,1,8,597,82,1,864
102,578,2,10,3347,9,2,24
103,1122,3,10,5496,46,7,502
104,638,2,15,4407,52,13,288
105,184,1,5,2812,4,9,167
106,978,3,14,182,90,14,350
107,261,3,10,4236,73,14,752
108,83,1,8,316,77,6,142
109,426,3,12,6927,53,10,996
110,189,1,4,4473,48,3,540
111,115,1,7,7297,37,15,367
112,362,2,1,4410,42,15,169
113,380,1,9,3911,90,14,118
114,690,2,3,5693,65,4,89
115,714,3,2,6853,73,14,369
116,65,1,1,2893,36,10,745
117,28,1,6,4796,47,2,506
118,306,2,16,6454,72,3,628
119,223,1,4,513,95,10,910
120,80,1,15,9028,72,3,327
121,105,1,8,5679,72,3,596
122,132,3,3,1250,48,3,836
123,45,1,6,7211,13,5,82
124,1026,3,14,9595,25,2,303
125,135,3,15,591,20,7,98
126,29,1,1,8386,75,11,938
127,742,2,5,9043,93,16,941
128,383,1,12,339,28,3,598
129,364,2,12,7372,75,11,306
130,564,2,4,6560,54,13,187
131,108,3,5,8656,7,8,433
132,282,1,15,4627,73,14,983
133,160,1,2,3443,86,6,40
134,42,2,11,220,62,16,390
135,369,1,15,2866,35,1,639
136,150,1,1,2136,58,11,170
137,792,3,5,9658,11,3,595
138,603,3,14,8717,97,14,270
139,258,1,8,857,22,7,420
140,308,2,4,5641,23,4,598
141,924,3,8,5923,20,7,860
142,398,1,3,5075,54,13,607
